,location,total_sqft,bath,price,bedrooms
0,1st Block Jayanagar,1235,2.0,148.0,2.0
1,1st Block Jayanagar,1630,3.0,194.0,3.0
2,1st Block Jayanagar,1875,2.0,235.0,3.0
3,1st Block Jayanagar,1200,2.0,130.0,3.0
4,1st Block Jayanagar,2850,4.0,428.0,4.0
5,1st Block Jayanagar,2750,4.0,413.0,4.0
6,1st Block Jayanagar,2450,4.0,368.0,4.0
7,1st Phase JP Nagar,840,2.0,50.0,1.0
8,1st Phase JP Nagar,1394,2.0,100.0,2.0
9,1st Phase JP Nagar,1077,2.0,93.0,2.0
10,1st Phase JP Nagar,1566,2.0,180.0,2.0
11,1st Phase JP Nagar,1180,2.0,88.5,2.0
12,1st Phase JP Nagar,1200,2.0,86.0,2.0
13,1st Phase JP Nagar,1394,2.0,85.0,2.0
14,1st Phase JP Nagar,1205,2.0,85.0,2.0
15,1st Phase JP Nagar,900,2.0,75.0,2.0
16,1st Phase JP Nagar,1875,3.0,167.0,3.0
17,1st Phase JP Nagar,2065,4.0,210.0,3.0
18,1st Phase JP Nagar,2024,3.0,157.0,3.0
19,1st Phase JP Nagar,2059,3.0,225.0,3.0
20,1st Phase JP Nagar,2180,3.0,210.0,3.0
21,1st Phase JP Nagar,2077,3.0,175.0,3.0
22,1st Phase JP Nagar,2825,4.0,250.0,4.0
23,1st Phase JP Nagar,4550,2.0,240.0,4.0
24,1st Phase JP Nagar,2615,5.0,222.0,4.0
25,1st Phase JP Nagar,1500,5.0,85.0,5.0
26,2nd Phase Judicial Layout,1150,2.0,40.25,2.0
27,2nd Phase Judicial Layout,900,2.0,41.0,2.0
28,2nd Phase Judicial Layout,1150,2.0,40.25,2.0
29,2nd Phase Judicial Layout,1450,2.0,50.75,3.0
30,2nd Phase Judicial Layout,1350,2.0,47.25,3.0
31,2nd Phase Judicial Layout,1350,2.0,47.25,3.0
32,2nd Phase Judicial Layout,1350,2.0,47.25,3.0
33,2nd Stage Nagarbhavi,1500,4.0,220.0,4.0
34,2nd Stage Nagarbhavi,1350,4.0,200.0,4.0
35,2nd Stage Nagarbhavi,1200,4.0,225.0,4.0
36,2nd Stage Nagarbhavi,1500,3.0,230.0,4.0
37,2nd Stage Nagarbhavi,3000,8.0,451.0,6.0
38,2nd Stage Nagarbhavi,2400,8.0,450.0,6.0
39,5th Block Hbr Layout,1206,2.0,56.0,2.0
40,5th Block Hbr Layout,1312,2.0,69.0,2.0
41,5th Block Hbr Layout,1100,2.0,48.0,2.0
42,5th Block Hbr Layout,1270,2.0,70.0,3.0
43,5th Block Hbr Layout,3600,5.0,130.0,5.0
44,5th Block Hbr Layout,5100,5.0,300.0,6.0
45,5th Phase JP Nagar,600,1.0,30.0,1.0
46,5th Phase JP Nagar,552,1.0,23.5,1.0
47,5th Phase JP Nagar,1075,2.0,60.0,2.0
48,5th Phase JP Nagar,1150,3.0,52.5,2.0
49,5th Phase JP Nagar,1256,2.0,62.8,2.0
